,Numero transazioni,anger,disgust,fear,happiness,sadness,surprise
1.2,4,0.084356381,0.063373892,0.025841779,0.004053676,0.008245521,0.00635959
1.4,5,0.101329051,0.081409666,0.032669312,0.008768804,0.010003891,0.013631222
1.6,1,0.086595836,0.072644153,0.044069682,0.005589773,0.022909773,0.035123836
1.8,0,0.070879403,0.020031222,0.014424985,0.026727324,0.006965652,0.014965805
1.10,1,0.222996205,0.054095131,0.019566655,0.005524649,0.009077333,0.013863898
1.12,0,0.052575567,0.028419745,0.021227476,0.011989816,0.023891782,0.025282996
1.14,1,0.062038183,0.044694605,0.022699898,0.014178493,0.02382198,0.013766945
2.2,1,0.018364033,0.011722987,0.038192018,0.001816008,0.015900985,0.031633341
2.4,0,0.045941477,0.018642077,0.036838812,0.008026998,0.014090562,0.031687748
2.6,1,0.012232895,0.023838132,0.138990385,0.02534955,0.046326559,0.133809214
2.8,1,0.032140047,0.01839915,0.050836162,0.01176883,0.023936083,0.041030124
2.10,1,0.014480312,0.039421172,0.08721445,0.013078274,0.044505245,0.095969451
2.12,2,0.027668847,0.027708223,0.077266859,0.011623647,0.02524978,0.080923062
2.14,1,0.079916061,0.048440966,0.045105183,0.004196656,0.020654613,0.028014068
3.2,2,0.046469574,0.006336345,-0.080078152,-0.038391924,-0.008990745,-0.0968579
4.2,2,0.006731629,-0.048810968,0.004795577,-0.007043336,9.86319E-05,0.006119941
4.4,0,0.012839307,-0.051993807,0.003066881,-0.0100487,6.45225E-05,0.002297858
4.6,1,0.004020365,-0.050498024,0.011377815,-0.007295511,0.000273658,0.021658575
4.8,0,-0.001229832,-0.054716363,0.011493864,-0.006519786,0.000169278,0.021137455
4.10,1,0.013058045,-0.043573602,0.010688293,-0.007277963,0.000300629,0.021906336
4.12,0,0.013853055,-0.041774796,-0.00320586,-0.010751635,9.6563E-05,-0.002559352
4.14,1,0.0120684,-0.042771735,0.004415446,-0.007932119,0.001680378,0.008803239
4.16,0,0.001433864,-0.035066564,0.005814891,-0.009145229,0.002090011,0.005307373
5.2,2,-0.048801571,-0.086047881,0.025176127,0.169739805,0.067085682,0.029073239
5.4,0,-0.031825835,-0.000618693,0.058182236,0.025002543,0.156022679,0.04781861
5.6,2,-0.01323932,0.017944497,0.02560634,0.003002665,0.059005717,0.027522487
5.8,2,0.010123943,-0.05080359,0.007892785,0.021282425,0.048095852,0.015344238
5.10,2,0.015760757,0.035500593,0.018185391,0.014843722,0.061751829,0.012260765
5.12,1,0.011585484,0.031052105,0.006706702,0.000464506,0.023027701,0.005348884
5.14,1,0.037687979,0.032924414,-0.00030874,0.002699117,-0.000385353,-0.000606037
5.16,0,0.029683456,0.029910187,0.006951111,-0.001148097,0.012644001,0.002386178
6.2,2,0.015337194,0.025893857,0.004702478,0.000703972,-0.003269663,0.002989396
6.4,2,0.014289709,0.032352135,0.006464114,0.000837618,-0.002566478,0.003851113
6.6,1,0.042716281,0.031168402,0.004153113,0.000790185,-0.000300273,0.001516672
6.8,1,0.060623447,0.047863843,0.003683212,0.000257394,-0.000113671,0.00125974
6.10,1,0.056601359,0.038755379,0.003780037,0.000583832,-0.000343045,0.001470501
6.12,0,0.004826755,0.03784771,0.008763399,0.004750906,-0.003563153,0.004660879
6.14,0,0.013308347,0.033951236,0.007675281,0.020175863,-0.004058142,0.004027634
