,Numero transazioni,anger,disgust,fear,happiness,sadness,surprise
1.2,1,-0.012683979,-0.010387887,-2.92717E-06,0.004613616,-0.000770394,0.000567124
1.4,1,-0.035367267,-0.026496464,0.001756363,0.002343868,8.46267E-05,0.002448313
1.6,2,-0.039471596,-0.042798578,-0.000829604,0.002981806,-0.000953388,-0.000690631
1.8,4,-0.05196458,-0.039905809,-0.001097618,0.006403021,-0.000965277,-0.001127514
1.10,1,-0.026810921,-0.037749884,0.002932079,0.006805877,0.002968961,0.002767376
1.12,2,-0.038511961,-0.038867057,4.34052E-05,0.011235291,-0.000566471,-3.33325E-05
1.14,3,0.067705936,0.04472499,-0.002022895,-0.004955519,0.000652805,-0.002960988
1.16,4,-0.030428328,-0.032530742,-0.000292412,0.000190849,-0.000799167,4.86814E-05
2.2,1,0.001548397,-0.025257547,-0.00337686,0.000176166,-0.000245124,0.002429243
2.4,1,0.024983392,-0.028941635,-0.00150738,0.000117934,-1.12566E-06,0.001833619
2.6,0,0.0052445,-0.021676889,-0.005042895,5.13255E-05,-0.000466529,-0.002908031
2.8,2,0.001082053,-0.025248733,-0.005403296,0.000630244,-0.000448523,-0.000901792
2.10,0,-0.000716741,-0.02393396,-0.005052186,0.000271535,-0.000392963,-0.001131031
2.12,0,0.01145163,-0.023385266,-0.001394449,0.000137361,-0.000184416,-0.000349603
2.14,1,0.003908712,-0.0189464,0.000232995,0.001131742,-1.05229E-05,0.00414032
3.2,3,-0.054028677,-0.02814407,0.003743333,0.076550757,-0.003629186,0.008014939
3.4,1,-0.048115686,-0.005683649,0.004328034,0.034525542,-0.003002743,0.010091598
3.6,0,-0.04994194,-0.040594008,0.003347136,0.063391275,-0.002967193,0.008748353
3.8,0,-0.035957212,-0.005475348,0.007375856,0.037844389,0.001102672,0.012474049
3.10,1,-0.029352017,0.006300633,0.006176834,0.023938144,-0.002958013,0.007135823
3.12,0,-0.027602662,0.009741141,0.003804299,0.011599066,-0.002199453,0.003542974
3.14,1,-0.034886728,0.001067674,0.01853673,0.03367491,0.012895116,0.018192663
4.2,2,-0.001139492,0.00289523,-0.001591681,-0.000937835,0.161218082,-0.082530999
4.4,2,-0.002352254,0.010572112,0.014308802,-0.001590776,0.230311165,-0.088096161
4.6,1,-0.000359648,0.00837842,0.042774803,0.000633799,0.226146613,-0.058915678
4.8,0,-0.003188891,0.001929343,0.039618353,-0.000486807,0.281079577,-0.066743853
4.10,3,-0.003631794,-0.006578168,0.020668951,0.001477187,0.24824724,-0.100279955
4.12,1,-0.003581026,0.007484694,0.030113926,-0.00190556,0.267892162,-0.0932432
4.14,0,-0.001184582,-0.026443109,0.041233009,-0.0016281,0.168121028,-0.022916876
5.2,0,0.002867128,0.001989474,9.31312E-05,-8.03268E-05,3.42145E-05,0.000345344
5.4,1,0.009823838,0.007124701,0.000695508,-0.000498082,3.53452E-05,0.001010415
5.6,1,0.014794478,0.008658854,0.008945605,-0.000370581,0.003361849,0.0117551
5.8,0,0.016678779,0.005071558,0.002782645,-0.000580345,5.432E-05,0.003725456
5.10,2,0.014961295,-0.002896075,0.000115342,-0.000811953,1.77176E-05,0.000238281
5.12,0,0.019560031,0.001946245,0.001400105,-0.000501973,6.51464E-05,0.001783157
5.14,0,0.013005456,0.005288438,0.001116292,-0.000469937,4.32232E-05,0.001396385
5.16,0,0.015362146,-0.000359178,0.002664972,-0.000145644,0.00025632,0.003339588
6.2,0,0.017609054,-0.017839576,0.0276431,0.002484139,0.033746678,0.031246031
6.4,1,0.015545392,-0.054195147,-0.019460157,-0.000957333,0.00639414,-0.011213597
6.6,1,-0.000511718,-0.023860625,0.07906871,0.004488667,0.050277549,0.103572825
6.8,0,0.025097992,-0.025313009,0.002688728,-0.00231571,0.025800541,0.011844511
6.10,2,-0.001297587,-0.062431502,0.028987129,-0.000605806,0.019875788,0.070205825
6.12,0,-0.004131062,-0.068501242,-0.0020779,0.000322358,0.012822613,0.017964287
6.14,0,0.017037219,0.007828434,0.014075108,0.010278737,0.023092203,0.028155304
6.16,0,0.015076273,-0.014971552,0.004182644,0.007258597,0.016925831,0.013437197
